,经纬,latitude,longitude,"""站点名地铁站名"","
274,31.314804 121.531954 '嫩江路地铁站',121.531954,31.314804,嫩江路地铁站
275,31.09659 121.506272 '浦江镇地铁站',121.506272,31.09659,浦江镇地铁站
276,31.242307 121.471543 '曲阜路地铁站',121.471543,31.242307,曲阜路地铁站
277,31.276524 121.491138 '曲阳路地铁站',121.491138,31.276524,曲阳路地铁站
278,31.061427 121.512272 '沈杜公路地铁站',121.512272,31.061427,沈杜公路地铁站
279,31.232687 121.475108 '人民广场地铁站',121.475108,31.232687,人民广场地铁站
280,31.322724 121.531933 '市光路地铁站',121.531933,31.322724,市光路地铁站
281,31.27488 121.501488 '四平路地铁站',121.501488,31.27488,四平路地铁站
282,31.263453 121.468818 '西藏北路地铁站',121.468818,31.263453,西藏北路地铁站
283,31.201967 121.489555 '西藏南路地铁站',121.489555,31.201967,西藏南路地铁站
284,31.305002 121.531974 '翔殷路地铁站',121.531974,31.305002,翔殷路地铁站
285,31.288543 121.534941 '延吉中路地铁站',121.534941,31.288543,延吉中路地铁站
286,31.161054 121.493443 '杨思地铁站',121.493443,31.161054,杨思地铁站
287,31.178513 121.494605 '耀华路地铁站',121.494605,31.178513,耀华路地铁站
288,31.185242 121.493626 '中华艺术宫地铁站',121.493626,31.185242,中华艺术宫地铁站
289,31.170644 121.397769 '漕河泾开发区地铁站',121.397769,31.170644,漕河泾开发区地铁站
290,31.206309 121.468681 '打浦桥地铁站',121.468681,31.206309,打浦桥地铁站
291,31.253228 121.469026 '中兴路地铁站',121.469026,31.253228,中兴路地铁站
292,31.084492 121.230473 '洞泾地铁站',121.230473,31.084492,洞泾地铁站
293,31.174791 121.418064 '桂林路地铁站',121.418064,31.174791,桂林路地铁站
294,31.174791 121.418064 '桂林路地铁站',121.418064,31.174791,桂林路地铁站
295,31.20282 121.460704 '嘉善路地铁站',121.460704,31.20282,嘉善路地铁站
296,31.137252 121.319423 '九亭地铁站',121.319423,31.137252,九亭地铁站
297,31.20952 121.477256 '马当路地铁站',121.477256,31.20952,马当路地铁站
298,31.104097 121.229686 '佘山地铁站',121.229686,31.104097,佘山地铁站
299,31.155287 121.349221 '七宝地铁站',121.349221,31.155287,七宝地铁站
300,31.230258 121.516275 '商城路地铁站',121.516275,31.230258,商城路地铁站
301,31.118272 121.260247 '泗泾地铁站',121.260247,31.118272,泗泾地铁站
302,31.053984 121.232577 '松江大学城地铁站',121.232577,31.053984,松江大学城地铁站
303,30.984818 121.230884 '松江南站地铁站',121.230884,30.984818,松江南站地铁站
304,31.016006 121.230546 '松江体育中心地铁站',121.230546,31.016006,松江体育中心地铁站
305,31.216866 121.498398 '小南门地铁站',121.498398,31.216866,小南门地铁站
306,31.030295 121.230739 '松江新城地铁站',121.230739,31.030295,松江新城地铁站
307,31.158109 121.368903 '星中路地铁站',121.368903,31.158109,星中路地铁站
308,31.22751 121.548664 '杨高中路地铁站',121.548664,31.22751,杨高中路地铁站
309,31.195514 121.436603 '徐家汇地铁站',121.436603,31.195514,徐家汇地铁站
310,31.186717 121.427194 '宜山路地铁站',121.427194,31.186717,宜山路地铁站
311,31.001125 121.229361 '醉白池地铁站',121.229361,31.001125,醉白池地铁站
312,31.149415 121.3377 '中春路地铁站',121.3377,31.149415,中春路地铁站
